mingcheng,neirong,pingfen,renshu
码头风云 On the Waterfront,导演: 伊利亚·卡赞 主演: 马龙·白兰度 / 卡尔·莫尔登 / 李·科布 类型: 犯罪 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1954,7.9,(12436人评价)
,,,
资产阶级的审慎魅力 Le Charme discret de la bourgeoisie,导演: 路易斯·布努埃尔 主演: 费尔南多·雷伊 / 保罗·弗朗克尔 / 德菲因·塞里格 类型: 喜剧 / 剧情 / 奇幻 制片国家/地区: 法国 年份: 1972,8.2,(23704人评价)
,,,
罗斯玛丽的婴儿 Rosemary's Baby,导演: 罗曼·波兰斯基 主演: 米亚·法罗 / 约翰·卡萨维蒂 / 鲁思·戈登 类型: 剧情 / 恐怖 制片国家/地区: 美国 年份: 1968,8.1,(49164人评价)
,,,
金刚 King Kong,导演: 梅里安·C·库珀 / 欧内斯特·B·舍德萨克 主演: 菲伊·雷 / 罗伯特·阿姆斯特朗 / 布鲁斯·卡伯特 类型: 动作 / 奇幻 / 冒险 制片国家/地区: 美国 年份: 1933,7.7,(6893人评价)
红菱艳 The Red Shoes,导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 主演: 莫伊拉·希勒 / 安东·沃尔布鲁克 Anton Walbrook / 马留斯·戈尔林 类型: 剧情 / 爱情 / 音乐 制片国家/地区: 英国 年份: 1948,8.2,(8450人评价)
,,,
呼喊与细语 Viskningar och rop,导演: 英格玛·伯格曼 主演: 哈里特·安德森 / 卡莉·西尔万 / 英格丽·图林 类型: 剧情 / 爱情 制片国家/地区: 瑞典 年份: 1972,8.7,(23230人评价)
"黄金三镖客 Il buono, il brutto, il cattivo",导演: 赛尔乔·莱昂内 主演: 克林特·伊斯特伍德 / 埃里·瓦拉赫 / 李·范·克里夫 类型: 冒险 / 西部 制片国家/地区: 意大利/西班牙/西德 年份: 1966,9.2,(103900人评价)
,,,
,,,
,,,
百战将军 The Life and Death of Colonel Blimp,导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 主演: 罗杰·莱伍赛 / 黛博拉·蔻儿 / 安东·沃尔布鲁克 类型: 剧情 / 爱情 / 战争 制片国家/地区: 英国 年份: 1943,7.9,(735人评价)
钱 L'argent,导演: 罗伯特·布列松 主演: Christian Patey / Vincent Risterucci / Caroline Lang 类型: 犯罪 / 剧情 制片国家/地区: 法国/瑞士 年份: 1983,8.3,(10379人评价)
愤怒的葡萄 The Grapes of Wrath,导演: 约翰·福特 主演: 亨利·方达 / 简·达威尔 / 约翰·卡拉丁 类型: 剧情 / 历史 制片国家/地区: 美国 年份: 1940,8.5,(8753人评价)
,,,
,,,
