mingcheng,neirong,pingfen,renshu
史密斯先生到华盛顿 Mr. Smith Goes to Washington,导演: 弗兰克·卡普拉 主演: 詹姆斯·斯图尔特 / 琪恩·亚瑟 / 克劳德·雷恩斯 类型: 剧情 制片国家/地区: 美国 年份: 1939,8.6,(9612人评价)
,,,
,,,
哈泰利 Hatari!,导演: 霍华德·霍克斯 主演: 约翰·韦恩 / 哈迪·克鲁格 / 爱尔莎·玛蒂妮利 类型: 动作 / 冒险 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1962,7.7,(530人评价)
,,,
大逃亡 The Great Escape,导演: 约翰·斯特奇斯 主演: 史蒂夫·麦奎因 / 詹姆斯·加纳 / 理查德·阿滕伯勒 类型: 剧情 / 历史 / 冒险 制片国家/地区: 美国 年份: 1963,8.3,(8249人评价)
米勒的十字路口 Miller's Crossing,导演: 伊桑·科恩 / 乔尔·科恩 主演: 加布里埃尔·伯恩 / 马西娅·盖伊·哈登 / 约翰·特托罗 类型: 犯罪 / 剧情 / 惊悚 制片国家/地区: 美国 年份: 1990,7.8,(10213人评价)
,,,
,,,
七宗罪 Se7en,导演: 大卫·芬奇 主演: 摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西 类型: 剧情 / 犯罪 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1995,8.8,(834488人评价)
,,,
小鹿斑比 Bambi,导演: 戴维·汉德 / 詹姆斯·阿尔格 / 塞缪尔·阿姆斯特朗 / 格雷厄姆·海德 / 比尔·罗伯茨 / 保罗·萨特菲尔德 / 诺曼·莱特 主演: 哈迪·奥尔布赖特 / Stan Alexander / Bobette Audrey 类型: 剧情 / 动画 制片国家/地区: 美国 年份: 1942,8.5,(30984人评价)
金盔 Casque d'or,导演: 雅克·贝克 主演: 西蒙·西涅莱 / 塞尔日·雷吉亚尼 / 克洛德·多芬 类型: 犯罪 / 剧情 / 爱情 制片国家/地区: 法国 年份: 1952,7.2,(870人评价)
,,,
,,,
,,,
,,,
三峡好人,导演: 贾樟柯 主演: 赵涛 / 韩三明 / 王宏伟 类型: 剧情 / 爱情 制片国家/地区: 中国大陆 年份: 2006,8.3,(114463人评价)
七次机会 Seven Chances,导演: 巴斯特·基顿 主演: 巴斯特·基顿 / T.罗伊·巴尔内斯 / 辛兹·爱德华 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1925,8.9,(9881人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
蝙蝠侠：黑暗骑士 The Dark Knight,导演: 克里斯托弗·诺兰 主演: 克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 类型: 剧情 / 动作 / 科幻 / 犯罪 / 惊悚 制片国家/地区: 美国/英国 年份: 2008,9.2,(911422人评价)
红气球 Le ballon rouge,导演: 艾尔伯特·拉摩里斯 主演: Pascal Lamorisse / 乔治·塞利耶 / Vladimir Popov 类型: 家庭 / 奇幻 / 短片 制片国家/地区: 法国 年份: 1956,8.8,(45361人评价)
斯巴达克斯 Spartacus,导演: 斯坦利·库布里克 主演: 柯克·道格拉斯 / 劳伦斯·奥利弗 / 简·西蒙斯 类型: 动作 / 冒险 / 传记 / 剧情 / 历史 制片国家/地区: 美国 年份: 1960,8.1,(22873人评价)
,,,
机器战警 RoboCop,导演: 保罗·范霍文 主演: 彼得·威勒 / 南茜·艾伦 / 丹·奥赫里奇 类型: 动作 / 犯罪 / 剧情 / 科幻 / 惊悚 制片国家/地区: 美国 年份: 1987,7.7,(39796人评价)
红高粱,导演: 张艺谋 主演: 巩俐 / 姜文 / 滕汝骏 类型: 剧情 / 历史 / 爱情 / 战争 制片国家/地区: 中国大陆 年份: 1988,8.4,(222018人评价)
变蝇人 The Fly,导演: 大卫·柯南伯格 主演: 杰夫·高布伦 / 吉娜·戴维斯 / 约翰·盖兹 类型: 恐怖 / 科幻 制片国家/地区: 美国/英国/加拿大 年份: 1986,7.3,(35407人评价)
西线无战事 All Quiet on the Western Front,导演: 刘易斯·迈尔斯通 主演: 路易斯·沃海姆 / 刘·艾尔斯 / 约翰·雷 类型: 剧情 / 动作 / 历史 / 战争 制片国家/地区: 美国 年份: 1930,8.8,(15877人评价)
切腹,导演: 小林正树 主演: 仲代达矢 / 石浜朗 / 岩下志麻 类型: 剧情 / 动作 / 悬疑 制片国家/地区: 日本 年份: 1962,9.4,(34474人评价)
欲望号街车 A Streetcar Named Desire,导演: 伊利亚·卡赞 主演: 费雯·丽 / 马龙·白兰度 / 金·亨特 类型: 剧情 制片国家/地区: 美国 年份: 1951,8.4,(39609人评价)
,,,
喋血双雄 喋血雙雄,导演: 吴宇森 主演: 周润发 / 李修贤 / 叶倩文 类型: 动作 / 犯罪 / 剧情 / 惊悚 制片国家/地区: 中国香港 年份: 1989,8.5,(71891人评价)
,,,
,,,
,,,
天外魔花 Invasion of the Body Snatchers,导演: 唐·希格尔 主演: 凯文·麦卡锡 / 达娜·温特 / 拉里·盖茨 类型: 恐怖 / 科幻 / 惊悚 制片国家/地区: 美国 年份: 1956,7.8,(3541人评价)
,,,
,,,
血迷宫 Blood Simple,导演: 乔尔·科恩 主演: 约翰·盖兹 / 弗兰西斯·麦克多蒙德 / 丹·哈达亚 类型: 剧情 / 犯罪 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1984,7.8,(32678人评价)
刺杀肯尼迪 JFK,导演: 奥利佛·斯通 主演: 凯文·科斯特纳 / 茜茜·斯派塞克 / 汤米·李·琼斯 类型: 传记 / 剧情 / 历史 / 悬疑 / 惊悚 制片国家/地区: 美国/法国 年份: 1991,8.8,(30966人评价)
下一站，天国 ワンダフルライフ,导演: 是枝裕和 主演: 井浦新 / 小田绘梨花 / 寺岛进 类型: 剧情 制片国家/地区: 日本 年份: 1998,8.1,(11237人评价)
春天不是读书天 Ferris Bueller's Day Off,导演: 约翰·休斯 主演: 马修·布罗德里克 / 阿兰·卢克 / 米娅·萨拉 类型: 喜剧 制片国家/地区: 美国 年份: 1986,8.0,(28312人评价)
,,,
洛丽塔 Lolita,导演: 斯坦利·库布里克 主演: 詹姆斯·梅森 / 谢利·温特斯 / 苏·莱恩 类型: 剧情 / 爱情 / 情色 制片国家/地区: 美国/英国 年份: 1962,7.8,(89197人评价)
夏夜的微笑 Sommarnattens leende,导演: 英格玛·伯格曼 主演: 厄拉·亚科布松 / 伊娃·达尔贝克 / 哈里特·安德森 类型: 喜剧 / 爱情 制片国家/地区: 瑞典 年份: 1955,7.7,(2969人评价)
,,,
怒火青春 La Haine,导演: 马修·卡索维茨 主演: 文森特·卡索 / 哈勃·孔黛 / 萨伊德·塔格马奥 类型: 犯罪 / 剧情 制片国家/地区: 法国 年份: 1995,8.2,(14671人评价)
巴格达妙贼 The Thief of Bagdad,导演: 路德维希·贝格尔 / 迈克尔·鲍威尔 / 蒂姆·威伦 主演: 康拉德·韦特 / Sabu / 琼·杜普雷 类型: 冒险 / 家庭 / 奇幻 制片国家/地区: 英国 年份: 1940,7.6,(1116人评价)
,,,
,,,
,,,
,,,
,,,
马戏团 The Circus,导演: 查理·卓别林 主演: 阿尔·欧内斯特·加西亚 / 梅尔纳·肯尼迪 / 哈里·克罗克 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1928,9.2,(18243人评价)
洛城机密 L.A. Confidential,导演: 柯蒂斯·汉森 主演: 凯文·史派西 / 罗素·克劳 / 盖·皮尔斯 类型: 剧情 / 犯罪 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1997,8.8,(127373人评价)
乱点鸳鸯谱 The Misfits,导演: 约翰·休斯顿 主演: 克拉克·盖博 / 玛丽莲·梦露 / 蒙哥马利·克利夫特 类型: 喜剧 / 剧情 / 爱情 / 西部 制片国家/地区: 美国 年份: 1961,7.2,(1330人评价)
,,,
黄巾骑兵队 She Wore a Yellow Ribbon,导演: 约翰·福特 主演: 约翰·韦恩 / 乔安妮·德鲁 / 约翰·艾加尔 类型: 西部 制片国家/地区: 美国 年份: 1949,6.6,(641人评价)
,,,
巴黎浮世绘 Code inconnu: Récit incomplet de divers voyages,导演: 迈克尔·哈内克 主演: 朱丽叶·比诺什 / 蒂埃里·钮维 / 约瑟夫·贝尔比奇 类型: 剧情 制片国家/地区: 法国/德国/罗马尼亚 年份: 2000,7.7,(4209人评价)
,,,
,,,
,,,
,,,
雾码头 Le quai des brumes,导演: 马塞尔·卡尔内 主演: 皮埃尔·布拉瑟 / 勒内·热南 / 马塞尔·佩雷斯 类型: 剧情 / 爱情 / 犯罪 制片国家/地区: 法国 年份: 1938,7.8,(1891人评价)
,,,
泰坦尼克号 Titanic,导演: 詹姆斯·卡梅隆 主演: 莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩 类型: 剧情 / 爱情 / 灾难 制片国家/地区: 美国/墨西哥/澳大利亚/加拿大 年份: 1997,9.4,(1845884人评价)
,,,
星河战队 Starship Troopers,导演: 保罗·范霍文 主演: 卡斯帕·范·迪恩 / 迪娜·迈耶 / 丹妮丝·理查兹 类型: 动作 / 冒险 / 科幻 / 惊悚 制片国家/地区: 美国 年份: 1997,7.9,(92746人评价)
,,,
,,,
枪疯 Gun Crazy,导演: 约瑟夫·刘易斯 主演: 佩吉·卡明斯 / 约翰·道尔 / 托尼·巴尔 类型: 犯罪 / 剧情 / 黑色电影 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1950,7.8,(1228人评价)
,,,
,,,
倒扣的王牌 Ace in the Hole,导演: 比利·怀尔德 主演: 柯克·道格拉斯 / 简·斯特林 / 罗伯特·亚瑟 类型: 剧情 / 黑色电影 制片国家/地区: 美国 年份: 1951,8.7,(12049人评价)
爱 Amour,导演: 迈克尔·哈内克 主演: 让-路易·特兰蒂尼昂 / 埃玛妞·丽娃 / 伊莎贝尔·于佩尔 类型: 剧情 / 爱情 制片国家/地区: 法国/德国/奥地利 年份: 2012,8.6,(78359人评价)
,,,
制片人 The Producers,导演: 梅尔·布鲁克斯 主演: 泽罗·莫斯苔 / 吉恩·怀尔德 / 迪克·肖恩 类型: 喜剧 制片国家/地区: 美国 年份: 1968,7.5,(880人评价)
菲律宾浴血战 They Were Expendable,导演: 约翰·福特 / 罗伯特·蒙哥马利 主演: 罗伯特·蒙哥马利 / 约翰·韦恩 / 唐娜·里德 类型: 剧情 / 战争 制片国家/地区: 美国 年份: 1945,6.8,(182人评价)
,,,
,,,
,,,
,,,
红磨坊 Moulin Rouge!,导演: 巴兹·鲁赫曼 主演: 妮可·基德曼 / 伊万·麦克格雷格 / 约翰·雷吉扎莫 类型: 剧情 / 歌舞 / 爱情 制片国家/地区: 澳大利亚/美国 年份: 2001,7.9,(126102人评价)
烈日灼人 Утомлённые солнцем,导演: 尼基塔·米哈尔科夫 主演: 欧列格·缅希科夫 / 尼基塔·米哈尔科夫 / 茵格保加·达坤耐特 类型: 剧情 / 历史 制片国家/地区: 俄罗斯/法国 年份: 1994,8.6,(17020人评价)
,,,
焦点新闻 Z,导演: 科斯塔-加夫拉斯 主演: 伊夫·蒙当 / 艾琳·帕帕斯 / 让-路易·特兰蒂尼昂 类型: 剧情 / 历史 / 犯罪 制片国家/地区: 阿尔及利亚/法国 年份: 1969,8.3,(2892人评价)
,,,
太空先锋 The Right Stuff,导演: 菲利普·考夫曼 主演: 丹尼斯·奎德 / 山姆·夏普德 / 斯科特·格伦 类型: 冒险 / 剧情 / 历史 制片国家/地区: 美国 年份: 1983,7.9,(1931人评价)
阿凡达 Avatar,导演: 詹姆斯·卡梅隆 主演: 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗 类型: 动作 / 科幻 / 冒险 制片国家/地区: 美国 年份: 2009,8.8,(1216759人评价)
,,,
,,,
,,,
,,,
再见，孩子们 Au revoir les enfants,导演: 路易·马勒 主演: 加斯帕·曼尼斯 / 拉斐尔·费伊特 / 弗朗辛·拉塞特 类型: 剧情 / 战争 制片国家/地区: 法国/西德/意大利 年份: 1987,8.6,(13008人评价)
,,,
,,,
,,,
,,,
,,,
恶魔 Les diaboliques,导演: 亨利-乔治·克鲁佐 主演: 西蒙·西涅莱 / 薇拉·克劳佐 / 保罗·默里斯 类型: 剧情 / 犯罪 / 悬疑 / 惊悚 制片国家/地区: 法国 年份: 1955,8.4,(14410人评价)
,,,
禁忌的游戏 Jeux interdits,导演: 雷内·克莱芒 主演: 乔吉斯·伯乔利 / 布丽吉特·佛西 / 阿梅代 类型: 剧情 / 战争 制片国家/地区: 法国 年份: 1952,8.4,(4662人评价)
,,,
摩根河的奇迹 The Miracle of Morgan's Creek,导演: 普莱斯顿·斯特奇斯 主演: 埃迪·布莱肯 / 蓓蒂·赫顿 / 戴安娜·琳 类型: 喜剧 / 爱情 / 战争 制片国家/地区: 美国 年份: 1943,7.0,(209人评价)
钢琴教师 La pianiste,导演: 迈克尔·哈内克 主演: 伊莎贝尔·于佩尔 / 安妮·吉拉尔多 / 伯努瓦·马吉梅尔 类型: 剧情 / 爱情 / 惊悚 / 情色 制片国家/地区: 奥地利/法国/德国 年份: 2001,7.5,(56273人评价)
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,导演: 彼得·杰克逊 主演: 伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩 类型: 剧情 / 动作 / 奇幻 / 冒险 制片国家/地区: 新西兰/美国 年份: 2001,9.1,(735327人评价)
,,,
,,,
一个美国人在巴黎 An American in Paris,导演: 文森特·明奈利 主演: 吉恩·凯利 / 莱斯莉·卡伦 / 奥斯卡·黎凡特 类型: 剧情 / 爱情 / 歌舞 制片国家/地区: 美国 年份: 1951,7.0,(4610人评价)
摩洛哥 Morocco,导演: 约瑟夫·冯·斯登堡 主演: 加里·库珀 / 玛琳·黛德丽 / 阿道夫·门吉欧 类型: 爱情 / 剧情 制片国家/地区: 美国 年份: 1930,7.5,(796人评价)
,,,
,,,
小飞象 Dumbo,导演: 宾·沙普斯坦 / 塞缪尔·阿姆斯特朗 / 诺曼·弗格森 / 威尔弗雷德·杰克逊 / 杰克·金尼 / 比尔·罗伯茨 / John Elliotte 主演: 詹姆斯·巴斯凯特 / 赫尔曼·宾 / 比利·布莱彻 类型: 动画 / 奇幻 / 歌舞 制片国家/地区: 美国 年份: 1941,8.3,(24407人评价)
,,,
,,,
,,,
幽灵与未亡人 The Ghost and Mrs. Muir,导演: 约瑟夫·L·曼凯维奇 主演: 吉恩·蒂尔尼 / 雷克斯·哈里森 / 乔治·桑德斯 类型: 剧情 / 奇幻 / 悬疑 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1947,7.8,(509人评价)
,,,
,,,
贼博士 The Ladykillers,导演: 亚历山大·麦肯德里克 主演: 亚历克·吉尼斯 / 西塞尔·帕克 / 赫伯特·罗姆 类型: 喜剧 / 犯罪 / 惊悚 制片国家/地区: 英国 年份: 1955,7.7,(3590人评价)
,,,
杯酒人生 Sideways,导演: 亚历山大·佩恩 主演: 保罗·吉亚玛提 / 托马斯·哈登·丘奇 / 维吉妮娅·马德森 类型: 剧情 / 喜剧 / 爱情 制片国家/地区: 美国/匈牙利 年份: 2004,7.9,(52288人评价)
,,,
基督最后的诱惑 The Last Temptation of Christ,导演: 马丁·斯科塞斯 主演: 威廉·达福 / 哈威·凯特尔 / Paul Greco 类型: 剧情 制片国家/地区: 加拿大/美国 年份: 1988,7.8,(6556人评价)
,,,
,,,
我心狂野 Wild at Heart,导演: 大卫·林奇 主演: 尼古拉斯·凯奇 / 劳拉·邓恩 / 威廉·达福 类型: 犯罪 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1990,7.4,(24763人评价)
杀手烙印 殺しの烙印,导演: 铃木清顺 主演: 宍戸錠 / 真理アンヌ / 小川万理子 类型: 动作 / 犯罪 / 剧情 制片国家/地区: 日本 年份: 1967,7.4,(1218人评价)
阿基拉 Akira,导演: 大友克洋 主演: 岩田光央 / 佐佐木望 / 小山茉美 类型: 动作 / 科幻 / 动画 制片国家/地区: 日本 年份: 1988,8.5,(72585人评价)
,,,
,,,
公主新娘 The Princess Bride,导演: 罗伯·莱纳 主演: 加利·艾尔维斯 / 罗宾·怀特 / 曼迪·帕廷金 类型: 爱情 / 奇幻 / 冒险 / 家庭 制片国家/地区: 美国 年份: 1987,7.0,(10176人评价)
暴力史 A History of Violence,导演: 大卫·柯南伯格 主演: 维果·莫腾森 / 玛丽亚·贝罗 / 艾德·哈里斯 类型: 动作 / 犯罪 / 剧情 / 惊悚 制片国家/地区: 加拿大/美国 年份: 2005,7.5,(22828人评价)
,,,
,,,
,,,
周末夜狂热 Saturday Night Fever,导演: 约翰·班德汉姆 主演: 约翰·特拉沃尔塔 / 凯伦·琳恩·高妮 / 保罗·佩普 类型: 剧情 / 音乐 / 爱情 制片国家/地区: 美国 年份: 1977,8.0,(6521人评价)
,,,
,,,
,,,
,,,
,,,
马路天使 馬路天使,导演: 袁牧之 主演: 周璇 / 赵丹 / 魏鹤龄 类型: 剧情 / 喜剧 制片国家/地区: 中国大陆 年份: 1937,8.5,(23074人评价)
美国丽人 American Beauty,导演: 萨姆·门德斯 主演: 凯文·史派西 / 安妮特·贝宁 / 索拉·伯奇 类型: 剧情 / 爱情 / 家庭 制片国家/地区: 美国 年份: 1999,8.5,(302053人评价)
末代皇帝 The Last Emperor,导演: 贝纳尔多·贝托鲁奇 主演: 尊龙 / 陈冲 / 邬君梅 类型: 剧情 / 传记 / 历史 制片国家/地区: 英国/意大利/中国大陆/法国 年份: 1987,9.3,(728125人评价)
,,,
早餐俱乐部 The Breakfast Club,导演: 约翰·休斯 主演: 艾米利奥·艾斯特维兹 / 安东尼·迈克尔·豪尔 / 约翰·卡普洛斯 类型: 喜剧 / 剧情 制片国家/地区: 美国 年份: 1985,8.1,(22126人评价)
美国风情画 American Graffiti,导演: 乔治·卢卡斯 主演: 理查德·德莱福斯 / 朗·霍华德 / 保罗·勒马特 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1973,7.7,(4206人评价)
2046,导演: 王家卫 主演: 梁朝伟 / 章子怡 / 王菲 类型: 剧情 / 爱情 / 奇幻 制片国家/地区: 中国香港/中国大陆/法国/意大利/德国 年份: 2004,7.7,(204316人评价)
,,,
水中刀 Nóz w wodzie,导演: 罗曼·波兰斯基 主演: 莱昂·涅姆奇克 / 乔兰塔·乌梅卡 / 兹古蒙特·马拉诺维兹奇 类型: 剧情 / 惊悚 制片国家/地区: 波兰 年份: 1962,8.1,(10662人评价)
,,,
,,,
,,,
,,,
虎胆忠魂 Odd Man Out,导演: 卡罗尔·里德 主演: 詹姆斯·梅森 / 罗伯特·牛顿 / 凯思琳·赖安 类型: 犯罪 / 剧情 / 黑色电影 / 爱情 / 惊悚 制片国家/地区: 英国 年份: 1947,7.7,(1102人评价)
黑暗时代 Excalibur,导演: 约翰·保曼 主演: 尼吉尔·特瑞 / 海伦·米伦 / 尼古拉斯·克莱 类型: 冒险 / 剧情 / 奇幻 制片国家/地区: 英国 年份: 1981,6.7,(631人评价)
,,,
,,,
,,,
,,,
,,,
猎艳高手 The Ladies Man,导演: 杰瑞·刘易斯 主演: 杰瑞·刘易斯 / 海伦·特劳贝尔 / 帕特·斯坦利 类型: 喜剧 制片国家/地区: 美国 年份: 1961,6.3,(162人评价)
肮脏的哈里 Dirty Harry,导演: 唐·希格尔 主演: 克林特·伊斯特伍德 / 哈里·古蒂诺 / 雷尼·桑托尼 类型: 动作 / 犯罪 / 惊悚 制片国家/地区: 美国 年份: 1971,7.7,(5511人评价)
,,,
,,,
,,,
男人的争斗 Du rififi chez les hommes,导演: 朱尔斯·达辛 主演: 吉恩·塞维斯 / 罗伯特·曼努埃尔 / 卡尔·蒙纳 类型: 剧情 / 犯罪 / 惊悚 制片国家/地区: 法国 年份: 1955,8.5,(3746人评价)
,,,
,,,
,,,
萤火虫之墓 火垂るの墓,导演: 高畑勋 主演: 辰己努 / 白石绫乃 / 志乃原良子 类型: 动画 / 剧情 / 战争 制片国家/地区: 日本 年份: 1988,8.7,(367516人评价)
,,,
吉尔达 Gilda,导演: 查尔斯·维多 主演: 丽塔·海华斯 / 格伦·福特 / 乔治·麦克雷迪 类型: 剧情 / 黑色电影 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1946,7.4,(2654人评价)
,,,
,,,
朱丽叶与魔鬼 Giulietta degli spiriti,导演: 费德里科·费里尼 主演: 朱丽叶塔·马西纳 / 桑德拉·米洛 / 马里奥·皮苏 类型: 剧情 / 喜剧 / 奇幻 制片国家/地区: 意大利/法国 年份: 1965,7.7,(5039人评价)
,,,
,,,
,,,
锦城春色 On the Town,导演: 吉恩·凯利 / 斯坦利·多南 主演: 吉恩·凯利 / 弗兰克·辛纳特拉 / 朱尔斯·芒辛 类型: 喜剧 / 歌舞 / 爱情 制片国家/地区: 美国 年份: 1949,7.4,(657人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
衣冠禽兽 La bête humaine,导演: 让·雷诺阿 主演: 让·迦本 / 西蒙妮·西蒙 / 费尔南·勒杜 类型: 剧情 / 犯罪 制片国家/地区: 法国 年份: 1938,7.4,(1122人评价)
,,,
,,,
,,,
,,,
血溅十三号警署 Assault on Precinct 13,导演: 约翰·卡朋特 主演: 奥斯汀·斯托克 / Darwin Joston / Laurie Zimmer 类型: 动作 / 犯罪 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1976,7.2,(2189人评价)
,,,
,,,
百万美元宝贝 Million Dollar Baby,导演: 克林特·伊斯特伍德 主演: 克林特·伊斯特伍德 / 希拉里·斯万克 / 摩根·弗里曼 类型: 剧情 / 运动 制片国家/地区: 美国 年份: 2004,8.7,(191017人评价)
夺魂索 Rope,导演: 阿尔弗雷德·希区柯克 主演: 约翰·道尔 / 法利·格兰杰 / 詹姆斯·斯图尔特 类型: 犯罪 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1948,8.1,(45445人评价)
,,,
,,,
,,,
罗宾汉历险记 The Adventures of Robin Hood,导演: 迈克尔·柯蒂兹 / 威廉·凯利 主演: 埃罗尔·弗林 / 奥利维娅·德哈维兰 / 巴兹尔·拉思伯恩 类型: 动作 / 冒险 / 爱情 制片国家/地区: 美国 年份: 1938,7.1,(1468人评价)
,,,
福禄双霸天 The Blues Brothers,导演: 约翰·兰迪斯 主演: 约翰·贝鲁西 / 丹·艾克罗伊德 / 詹姆斯·布朗 类型: 喜剧 / 动作 / 犯罪 / 音乐 制片国家/地区: 美国 年份: 1980,8.3,(3158人评价)
,,,
,,,
,,,
,,,
南街奇遇 Pickup on South Street,导演: 塞缪尔·富勒 主演: 理查德·威德马克 / 简·皮特斯 / 瑟尔玛·瑞特 类型: 黑色电影 / 惊悚 制片国家/地区: 美国 年份: 1953,7.4,(1299人评价)
,,,
,,,
禁忌星球 Forbidden Planet,导演: 弗雷德·威尔科克斯 主演: 沃尔特·皮金 / 安妮·弗朗西丝 / 莱斯利·尼尔森 类型: 动作 / 科幻 / 惊悚 / 冒险 制片国家/地区: 美国/日本 年份: 1956,7.6,(2218人评价)
,,,
,,,
阳光下的决斗 Duel in the Sun,导演: 金·维多 主演: 丽莲·吉许 / 珍妮弗·琼斯 / 格利高里·派克 类型: 剧情 / 爱情 / 西部 制片国家/地区: 美国 年份: 1946,7.5,(753人评价)
,,,
,,,
非常嫌疑犯 The Usual Suspects,导演: 布莱恩·辛格 主演: 史蒂芬·鲍德温 / 加布里埃尔·伯恩 / 本尼西奥·德尔·托罗 类型: 犯罪 / 悬疑 / 惊悚 制片国家/地区: 德国/美国 年份: 1995,8.6,(226819人评价)
空前绝后满天飞 Airplane!,导演: 大卫·扎克 / 杰瑞·扎克 / 吉姆·艾布拉姆斯 主演: 卡里姆·阿卜杜尔-贾巴尔 / 劳埃德·布里吉斯 / 皮特·格拉维斯 类型: 喜剧 制片国家/地区: 美国 年份: 1980,7.5,(15680人评价)
,,,
,,,
,,,
爱与死 Love and Death,导演: 伍迪·艾伦 主演: 伍迪·艾伦 / 黛安·基顿 / 费奥多尔·阿特金 类型: 喜剧 / 战争 制片国家/地区: 美国/法国 年份: 1975,8.4,(9736人评价)
,,,
浮草,导演: 小津安二郎 主演: 中村雁治郎 / 京町子 / 若尾文子 类型: 剧情 制片国家/地区: 日本 年份: 1959,8.6,(8063人评价)
十诫 The Ten Commandments,导演: 塞西尔·B·戴米尔 主演: 查尔顿·赫斯顿 / 尤·伯连纳 / 安妮·巴克斯特 类型: 冒险 / 剧情 / 历史 制片国家/地区: 美国 年份: 1956,8.3,(8733人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
地球停转之日 The Day the Earth Stood Still,导演: 罗伯特·怀斯 主演: 迈克尔·伦尼 / 帕德里夏·妮尔 / 休·马洛威 类型: 剧情 / 科幻 / 惊悚 制片国家/地区: 美国 年份: 1951,7.3,(5052人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
罗马假日 Roman Holiday,导演: 威廉·惠勒 主演: 奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1953,9.1,(841987人评价)
,,,
午夜狂奔 Midnight Run,导演: 马丁·布莱斯特 主演: 罗伯特·德尼罗 / 查尔斯·格罗丁 / 亚非特·科托 类型: 喜剧 / 动作 / 犯罪 / 冒险 制片国家/地区: 美国 年份: 1988,8.5,(21318人评价)
,,,
,,,
,,,
,,,
战争与和平 Война и мир,导演: 谢尔盖·邦达尔丘克 主演: 谢尔盖·邦达尔丘克 / 柳德米拉·萨维里耶娃 / 维亚切斯拉夫·吉洪诺夫 类型: 剧情 / 历史 / 爱情 / 战争 制片国家/地区: 苏联 年份: 1966,9.2,(9707人评价)
我的美国舅舅 Mon oncle d'Amérique,导演: 阿伦·雷乃 主演: 热拉尔·德帕迪约 / 妮可·加西亚 / 罗歇·皮埃尔 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 法国 年份: 1980,8.2,(2539人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,导演: 彼得·杰克逊 主演: 伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森 类型: 剧情 / 动作 / 奇幻 / 冒险 制片国家/地区: 美国/新西兰 年份: 2003,9.3,(696236人评价)
,,,
龙虎盟 El Dorado,导演: 霍华德·霍克斯 主演: 约翰·韦恩 / 罗伯特·米彻姆 / 詹姆斯·肯恩 类型: 西部 / 动作 / 冒险 制片国家/地区: 美国 年份: 1967,7.6,(873人评价)
第四十二街 42nd Street,导演: 劳埃德·培根 主演: 沃纳·巴克斯特 / 贝比·丹尼尔斯 / 金杰·罗杰斯 类型: 歌舞 / 爱情 / 剧情 制片国家/地区: 美国 年份: 1933,7.5,(919人评价)
海底总动员 Finding Nemo,导演: 安德鲁·斯坦顿 / 李·昂克里奇 主演: 艾伯特·布鲁克斯 / 艾伦·德杰尼勒斯 / 亚历山大·古尔德 类型: 喜剧 / 动画 / 冒险 制片国家/地区: 美国/澳大利亚 年份: 2003,8.4,(343124人评价)
,,,
,,,
上海快车 Shanghai Express,导演: 约瑟夫·冯·斯登堡 主演: 玛琳·黛德丽 / 克里夫·布洛克 / 黄柳霜 类型: 冒险 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1932,7.0,(1344人评价)
,,,
,,,
杨贵妃 楊貴妃,导演: 沟口健二 主演: 京町子 / 森雅之 / 山村聪 类型: 剧情 / 历史 / 爱情 制片国家/地区: 中国香港/日本 年份: 1955,6.2,(1542人评价)
